artist,followers,genres,popularity,type,rank,daily streams,peak daily,monthly listeners,total_page_views,total_songs_count,songs_with_duration_count
Freddie Gibbs,1482966.0,"alternative hip hop, jazz rap",69.0,artist,"2,071.3",1.083,"1,526.3",306.4,894261.0,5.0,5.0
Simply Red,2772146.0,nan,70.0,artist,"2,231.2",1.372,"2,229.1","2,116.0",220537.0,6.0,6.0
AnnenMayKantereit,2188112.0,"german indie, german pop, german indie pop",66.0,artist,"2,229.0",0.854,"2,155.2","1,729.4",508043.0,8.0,8.0
Waylon Jennings,1684449.0,"outlaw country, classic country, country, honky tonk, traditional country",67.0,artist,"2,227.9",0.926,"1,423.8",914.4,91013.0,2.0,2.0
Capital Cities,998832.0,nan,66.0,artist,"2,221.1",0.616,"2,219.0","2,173.1",577559.0,17.0,17.0
Yelawolf,2365612.0,"country hip hop, southern hip hop",65.0,artist,"2,214.8",0.65,"1,731.9","1,211.9",1785010.0,5.0,5.0
Brenda Lee,466336.0,christmas,65.0,artist,"2,207.2",1.57,"2,206.6","2,206.1",13920.0,3.0,3.0
GoldLink,940464.0,nan,62.0,artist,"2,197.1",0.495,"1,702.9",163.2,1503430.0,5.0,5.0
Zacari,128116.0,nan,65.0,artist,"2,196.9",0.694,129.3,54.9,234569.0,3.0,3.0
MIKA,63509.0,"swedish pop, bisrock",38.0,artist,"2,193.2",0.693,"2,112.6","1,898.5",928034.0,3.0,3.0
Grupo Niche,4537755.0,"salsa, merengue",70.0,artist,"2,192.2",1.807,"2,186.4","2,176.4",0.0,1.0,1.0
Tommy Richman,940348.0,nan,69.0,artist,"2,191.3",0.935,"1,930.7","1,903.5",959885.0,6.0,6.0
Olivia Newton-John,1795861.0,nan,67.0,artist,"2,188.1",1.257,879.6,800.6,411002.0,4.0,4.0
Melim,5313906.0,"mpb, brazilian pop, nova mpb",63.0,artist,"2,187.5",0.55,"1,822.3","1,674.0",11693.0,2.0,2.0
George Harrison,3078340.0,nan,67.0,artist,"2,183.6",0.962,"2,177.7","2,177.3",596847.0,2.0,2.0
Em Beihold,680028.0,nan,67.0,artist,"2,182.8",0.943,649.5,648.0,354233.0,1.0,1.0
Lauren Spencer Smith,1770290.0,nan,68.0,artist,"1,716.5",1.061,"1,711.7","1,669.4",820624.0,5.0,5.0
Simone & Simaria,5392944.0,"sertanejo, sertanejo universitário, forró, arrocha, brazilian pop",60.0,artist,"2,182.8",0.445,"1,479.0",893.0,0.0,2.0,2.0
Jory Boy,2042286.0,"reggaeton, trap latino",71.0,artist,"2,182.5",2.154,884.4,95.9,92627.0,1.0,1.0
Chuck Berry,2215056.0,"rockabilly, rock and roll",64.0,artist,"2,181.0",0.595,"2,181.0","2,172.2",249878.0,5.0,5.0
Crookers,85105.0,italian trap,58.0,artist,"2,178.0",0.686,58.9,10.6,8443.0,2.0,2.0
Paloma Faith,1502540.0,nan,65.0,artist,"2,175.8",0.72,"1,675.8","1,449.8",1212695.0,5.0,5.0
KC Rebell,1196014.0,german hip hop,60.0,artist,"2,173.4",0.406,"1,640.9",552.8,458307.0,4.0,4.0
Alexis y Fido,5357155.0,"reggaeton, urbano latino",67.0,artist,"2,167.8",1.078,"1,793.9","1,124.9",7037.0,2.0,2.0
Lennon Stella,396934.0,nan,57.0,artist,"2,167.1",0.233,913.4,626.3,464069.0,11.0,11.0
Arthur Nery,8404228.0,"opm, harana, p-pop, pinoy r&b, kundiman, pinoy indie",72.0,artist,"2,166.4",2.048,"1,983.8","1,714.2",109112.0,1.0,1.0
Duke Dumont,796995.0,house,66.0,artist,"2,164.9",0.811,"2,076.6","1,097.7",769357.0,8.0,8.0
Azet,729.0,"koplo, dangdut, sholawat",7.0,artist,"2,157.8",1.166,"1,607.5",625.2,386342.0,4.0,4.0
The Verve,2746806.0,"britpop, shoegaze",69.0,artist,"2,157.0",1.068,"2,157.0","2,156.1",203444.0,6.0,6.0
Lola Young,1476148.0,nan,78.0,artist,"2,150.9",3.311,"1,525.9","1,521.3",783934.0,9.0,9.0
James Hype,496787.0,"house, tech house",69.0,artist,"2,146.3",1.264,"1,821.8",195.3,124101.0,5.0,5.0
Bob Seger,2888154.0,classic rock,68.0,artist,"2,142.8",1.057,"2,095.5","2,090.5",1348352.0,7.0,7.0
Men I Trust,2333235.0,"bedroom pop, indie pop",69.0,artist,"2,141.1",1.334,"2,141.1","2,076.1",443883.0,4.0,4.0
